"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"XXII","22nd Century Group, Inc","1.02","$65.62M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/xxii"
"FAX","Aberdeen Asia-Pacific Income Fund Inc","5.51","$1.47B","1986","n/a","n/a","http://www.nasdaq.com/symbol/fax"
"IAF","Aberdeen Australia Equity Fund Inc","7.19","$164.93M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iaf"
"CH","Aberdeen Chile Fund, Inc.","7.62","$71.53M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ch"
"ETF","Aberdeen Emerging Markets Smaller Company Opportunities Fund I","13.16","$128.5M","1992","n/a","n/a","http://www.nasdaq.com/symbol/etf"
"FCO","Aberdeen Global Income Fund, Inc.","9.59","$88.19M","1992","n/a","n/a","http://www.nasdaq.com/symbol/fco"
"IF","Aberdeen Indonesia Fund, Inc.","7.54","$71.52M","1990","n/a","n/a","http://www.nasdaq.com/symbol/if"
"ISL","Aberdeen Israel Fund, Inc.","18.3999","$74.88M","1992","n/a","n/a","http://www.nasdaq.com/symbol/isl"
"ACU","Acme United Corporation.","18.47","$61.29M","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu"
"AIII","ACRE Realty Investors, Inc.","1.5499","$31.08M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiii"
"ATNM","Actinium Pharmaceuticals, Inc.","2.52","$89.41M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/atnm"
"AE","Adams Resources & Energy, Inc.","46.4","$195.7M","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae"
"ADK","Adcare Health Systems Inc","4.08","$78.94M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk"
"ADK^A","Adcare Health Systems Inc","26.37","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adk^a"
"API","Advanced Photonix, Inc.","0.4","$14.95M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/api"
"ACY","AeroCentury Corp.","11.212","$17.3M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy"
"WGA","AG&E Holdings, Inc.","0.805","$9.4M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/wga"
"AIRI","Air Industries Group","10.74","$76.35M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi"
"AA^","Alcoa Inc.","87.95","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa^"
"AXX","Alderon Iron Ore Corp.","0.234","$30.92M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axx"
"AXU","Alexco Resource Corp","0.42","$29.23M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu"
"AAU","Almaden Minerals, Ltd.","0.785","$57.42M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau"
"APT","Alpha Pro Tech, Ltd.","2.36","$43.3M","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/apt"
"ALTV","Alteva (D/B/A)","7.03","$42.12M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/altv"
"AAMC","Altisource Asset Management Corp","225.01","$496.5M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/aamc"
"DIT","AMCON Distributing Company","79.5","$48.96M","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dit"
"APP","American Apparel Inc","0.653","$115.1M","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/app"
"ADGE","American DG Energy Inc.","0.85","$43.07M","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/adge"
"AMZG","American Eagle Energy Corporation.","0.182","$5.54M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/amzg"
"ALN","American Lorain Corporation","1.29","$45.04M","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln"
