"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"TFSC","1347 Capital Corp.","9.79","$58.23M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfsc"
"TFSCR","1347 Capital Corp.","0.39","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscr"
"TFSCU","1347 Capital Corp.","10.39","$43.43M","2014","n/a","n/a","http://www.nasdaq.com/symbol/tfscu"
"TFSCW","1347 Capital Corp.","0.36","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscw"
"PIH","1347 Property Insurance Holdings, Inc.","7.29","$46.35M","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih"
"FLWS","1-800 FLOWERS.COM, Inc.","10.2","$660.01M","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws"
"FCTY","1st Century Bancshares, Inc","7","$71.17M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty"
"FCCY","1st Constitution Bancorp (NJ)","11.39","$81.41M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy"
"SRCE","1st Source Corporation","30.84","$735.63M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce"
"VNET","21Vianet Group, Inc.","20.59","$1.36B","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet"
"TWOU","2U, Inc.","27.18","$1.12B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou"
"DGLD","3X Inverse Gold ETN Velocityshares","74.59","$10.14M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/dgld"
"JOBS","51job, Inc.","36.51","$2.15B","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs"
"SIXD","6D Global Technologies, Inc.","8.37","$654.33M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/sixd"
"EGHT","8x8 Inc","8.66","$778.25M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght"
"AVHI","A V Homes, Inc.","15.95","$356.27M","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi"
"SHLM","A. Schulman, Inc.","42.89","$1.26B","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm"
"AAON","AAON, Inc.","24.15","$1.31B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon"
"ABAX","ABAXIS, Inc.","55.48","$1.25B","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax"
"ABY","Abengoa Yield plc","33.53","$2.68B","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aby"
"ABGB","Abengoa, S.A.","16.2","$2.72B","2013","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/abgb"
"ABMD","ABIOMED, Inc.","63.79","$2.62B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd"
"AXAS","Abraxas Petroleum Corporation","3.69","$391.85M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas"
"ACTG","Acacia Research Corporation","10.63","$541.58M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg"
"ACHC","Acadia Healthcare Company, Inc.","68.71","$4.56B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc"
"ACAD","ACADIA Pharmaceuticals Inc.","35.67","$3.58B","1985","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad"
"ACST","Acasti Pharma, Inc.","0.3917","$41.69M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst"
"AXDX","Accelerate Diagnostics, Inc.","21.86","$976.21M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx"
"XLRN","Acceleron Pharma Inc.","28.74","$942.41M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn"
"ANCX","Access National Corporation","18.915","$198.09M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx"
"ARAY","Accuray Incorporated","6.815","$534.91M","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray"
"ACRX","AcelRx Pharmaceuticals, Inc.","4.03","$176.17M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx"
"ACET","Aceto Corporation","19.475","$566.9M","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet"
"AKAO","Achaogen, Inc.","5.61","$101.15M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao"
"ACHN","Achillion Pharmaceuticals, Inc.","9.13","$1.07B","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn"
"ACIW","ACI Worldwide, Inc.","23.02","$2.69B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw"
"ACNB","ACNB Corporation","20.89","$125.67M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb"
"ACOR","Acorda Therapeutics, Inc.","29.77","$1.27B","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor"
"ACFN","Acorn Energy, Inc.","0.373","$9.88M","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acfn"
"ACTS","Actions Semiconductor Co., Ltd.","1.5","$129M","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts"
"ACPW","Active Power, Inc.","2.3","$53.27M","2000","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/acpw"
"ATVI","Activision Blizzard, Inc","23.05","$16.73B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi"
"ACTA","Actua Corporation","14.22","$575.12M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acta"
"ACUR","Acura Pharmaceuticals, Inc.","0.78","$38.18M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acur"
"ACXM","Acxiom Corporation","17.37","$1.34B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm"
"ADMS","Adamas Pharmaceuticals, Inc.","16.89","$299.04M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adms"
"ADMP","Adamis Pharmaceuticals Corporation","4.55","$60.66M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/admp"
"ADUS","Addus HomeCare Corporation","27","$297.27M","2009","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus"
"AEY","ADDvantage Technologies Group, Inc.","2.41","$24.2M","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/aey"
"ADEP","Adept Technology, Inc.","6.06","$79.41M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/adep"
"ADMA","ADMA Biologics Inc","8.3075","$77.19M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adma"
"ADBE","Adobe Systems Incorporated","76.43","$38.24B","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe"
"ADTN","ADTRAN, Inc.","16.63","$886.68M","1994","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn"
"ADRO","Aduro Biotech, Inc.","26.09","$1.54B","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adro"
"AEIS","Advanced Energy Industries, Inc.","25.47","$1.04B","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis"
"AMD","Advanced Micro Devices, Inc.","2.31","$1.8B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd"
"ADXS","Advaxis, Inc.","17.07","$466.39M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxs"
"ADXSW","Advaxis, Inc.","12.8","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxsw"
"ADVS","Advent Software, Inc.","43.39","$2.27B","1995","Technology","EDP Services","http://www.nasdaq.com/symbol/advs"
"MULT","AdvisorShares Sunrise Global Multi-Strategy ETF","24.36","$2.44M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mult"
"YPRO","AdvisorShares YieldPro ETF","23.544","$67.1M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ypro"
"AEGR","Aegerion Pharmaceuticals, Inc.","23.61","$674.58M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aegr"
"AEGN","Aegion Corp","18.52","$691.48M","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/aegn"
"AEHR","Aehr Test Systems","2.58","$32.79M","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr"
"AMTX","Aemetis, Inc","4.57","$90.7M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amtx"
"AEPI","AEP Industries Inc.","50.26","$255.48M","1986","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/aepi"
"AERI","Aerie Pharmaceuticals, Inc.","9.37","$225.32M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aeri"
"AVAV","AeroVironment, Inc.","25.46","$594M","2007","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/avav"
"AEZS","AEterna Zentaris Inc.","0.5545","$51.88M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aezs"
"AFMD","Affimed N.V.","8.26","$198.11M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/afmd"
"AFFX","Affymetrix, Inc.","12.17","$939.25M","1996","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/affx"
"AGEN","Agenus Inc.","6.85","$484.71M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agen"
"AGRX","Agile Therapeutics, Inc.","11.57","$256.33M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agrx"
"AGYS","Agilysys, Inc.","9.08","$207.23M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/agys"
"AGIO","Agios Pharmaceuticals, Inc.","95.74","$3.56B","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agio"
"AIRM","Air Methods Corporation","44.6","$1.75B","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/airm"
"AIRT","Air T, Inc.","20.3","$48.11M","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt"
"ATSG","Air Transport Services Group, Inc","9.45","$613.77M","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg"
"AMCN","AirMedia Group Inc","4.71","$282.46M","2007","Technology","Advertising","http://www.nasdaq.com/symbol/amcn"
"AIXG","Aixtron SE","6.71","$756.23M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg"
"AKAM","Akamai Technologies, Inc.","74.66","$13.37B","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam"
"AKBA","Akebia Therapeutics, Inc.","7.85","$226.37M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akba"
"AKER","Akers Biosciences Inc","4.19","$21.56M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/aker"
"AKRX","Akorn, Inc.","43","$4.9B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akrx"
"ALSK","Alaska Communications Systems Group, Inc.","2.3","$114.65M","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alsk"
"AMRI","Albany Molecular Research, Inc.","17.98","$595.58M","1999","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/amri"
"ABDC","Alcentra Capital Corp.","13.83","$186.94M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abdc"
"ADHD","Alcobra Ltd.","5.94","$125.8M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adhd"
"ALDR","Alder BioPharmaceuticals, Inc.","26.7","$1.01B","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldr"
"ALDX","Aldeyra Therapeutics, Inc.","9.33","$64.28M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldx"
"ALXN","Alexion Pharmaceuticals, Inc.","172.5","$34.43B","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxn"
"ALXA","Alexza Pharmaceuticals, Inc.","1.971","$38.25M","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxa"
"ALCO","Alico, Inc.","47.13","$347.39M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/alco"
"ALGN","Align Technology, Inc.","59.18","$4.78B","2001","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/algn"
"ALIM","Alimera Sciences, Inc.","4.42","$196.04M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alim"
"ALKS","Alkermes plc","59.1","$8.77B","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alks"
"ALGT","Allegiant Travel Company","157.78","$2.75B","2006","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt"
"ALLB","Alliance Bancorp, Inc. of Pennsylvania","21.2","$85.37M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/allb"
"AFOP","Alliance Fiber Optic Products, Inc.","18.42","$326.4M","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/afop"
"AIQ","Alliance HealthCare Services, Inc.","21.86","$234.98M","2001","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aiq"
"AHGP","Alliance Holdings GP, L.P.","50.26","$3.01B","2006","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp"
"ARLP","Alliance Resource Partners, L.P.","34.2","$2.54B","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp"
