"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"DDD","3D Systems Corporation","24.92","$2.79B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd"
"MMM","3M Company","157.68","$100.18B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm"
"WBAI","500.com Limited","17.94","$630.55M","2013","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/wbai"
"WUBA","58.com Inc.","78.71","$6.91B","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wuba"
"AHC","A.H. Belo Corporation","6.53","$141.9M","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc"
"ATEN","A10 Networks, Inc.","4.48","$276.49M","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/aten"
"AAC","AAC Holdings, Inc.","34.43","$749.92M","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aac"
"AIR","AAR Corp.","30.16","$1.2B","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air"
"AAN","Aaron&#39;s,  Inc.","34.67","$2.51B","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan"
"ABB","ABB Ltd","21.94","$49.56B","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb"
"ABT","Abbott Laboratories","46.69","$70.45B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt"
"ABBV","AbbVie Inc.","64.32","$102.41B","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv"
"ANF","Abercrombie & Fitch Company","22.51","$1.57B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf"
"GCH","Aberdeen Greater China Fund, Inc.","11.11","$102.2M","1992","n/a","n/a","http://www.nasdaq.com/symbol/gch"
"JEQ","Aberdeen Japan Equity Fund, Inc. ","8.21","$112.17M","1992","n/a","n/a","http://www.nasdaq.com/symbol/jeq"
